Start Date (UTC),Submit Date (UTC),Network ID,Tags,#,role,other_role,Theme,LO1-a,LO2-a,LO3-a,LO4-a,average-a,LO1-b,LO2-b,LO3-b,LO4-b,average-b
44833.04514,44833.04792,79cdf6081f,,pqjyimysv3m99noinpqjyimtvabgzeol,RADx-UP project team member representing the project’s *academic institution*,,1,1,4,4,,3.00,,4,4,,4.00
44832.75903,44832.76042,54973de7f8,,vtvgnmb1t2l9y6knse8vvtvgnm4yton6,RADx-UP project team member representing the project’s *community partner*,,1,1,1,1,,1.00,2,4,4,,3.33
44832.75903,44832.76042,20ebe09947,,v9vw8doapb315vxs3grr6zmxurmt2qxs,RADx-UP project team member representing the project’s *academic institution*,,1,1,1,3,,1.67,1,3,3,,2.33
44832.75903,44832.76042,2ef0c74716,,ev7uasy3xz579e8nmqevqii6yq2mgb3a,RADx-UP CDCC Staff and Leadership (_not Evidence Academy Event Volunteer_),,1,2,3,3,,2.67,3,4,4,,3.67
44833.54306,44833.54375,b4a4b8b343,,mv565xmu5a8qg2svbo3b9mv565xmzrbi,RADx-UP project team member representing the project’s *community partner*,,2,3,2,2,,2.33,3,3,3,,3.00
44832.75972,44832.76319,5cbccf2593,,6eusvnnuua3bwyr76eusmgd13a1e01fs,,Colleague of Radx co-lead,2,3,3,2,,2.67,4,4,3,,3.67
44832.75972,44832.76111,465d58c035,,04a7jvd8emyc016ap04a7jvd0sfetqfx,,,2,,,,,,4,4,4,,4.00
44832.75903,44832.76042,df44e5f31b,,c3a4lhli42cmbl7c3avyo8vbron5i4m0,RADx-UP CDCC Staff and Leadership (_not Evidence Academy Event Volunteer_),,2,1,1,1,,1.00,3,3,3,,3.00
44832.75903,44832.76042,9ee1f1ec14,,dp2seeb9a5x1665tnczrx3hqdp2seeb9,RADx-UP CDCC Staff and Leadership (_not Evidence Academy Event Volunteer_),,2,2,2,2,,2.00,2,2,2,,2.00
44832.75833,44832.75972,41d078b3b6,,j4i81ussl9pometj4i81zgj2mdsq7wd3,RADx-UP project team member representing the project’s *community partner*,,2,2,2,2,,2.00,3,3,4,,3.33
44832.75903,44832.75972,b4a4b8b343,,1k9zw2fuw3y9snh1k9zwkfk3bku2juu5,RADx-UP project team member representing the project’s *community partner*,,2,2,2,1,,1.67,3,3,3,,3.00
44832.75903,44832.75972,add1a5bf36,,mzkofs4c9uujiij02zqozy5mzkofs4v6,,invitee of someone involved in a RADx-UP project,2,2,1,1,,1.33,3,3,2,,2.67
44832.75903,44832.75903,762aa6615c,,asya8862vgm332lqb5h1asya8yudgcf7,RADx-UP project team member representing the project’s *academic institution*,,2,1,1,1,,1.00,3,3,3,,3.00
44837.59931,44837.6,ec5eeb0638,,bbn8n85tqxr93bbn8n32x3jk31j1bjo1,RADx-UP project team member representing the project’s *academic institution*,,3,2,2,1,,1.67,3,3,2,,2.67
